"Tabela 3548 - Pessoas de 10 anos ou mais de idade, Valor do rendimento nominal médio mensal, e mediano mensal, das pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência, segundo a situação do domicílio, o sexo, as classes de rendimento nominal mensal e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Ano x Condição de atividade x Situação do domicílio x Sexo"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"2010"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";;;"Economicamente ativas"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";;;"Total"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"3519402";"Ibirá (SP)";"Total";"Total";"9603";"4768";"4835";"5954";"3509";"2445"
"3519501";"Ibirarema (SP)";"Total";"Total";"5760";"2887";"2873";"3076";"1924";"1152"
"3519600";"Ibitinga (SP)";"Total";"Total";"46663";"22899";"23764";"31104";"16925";"14179"
"3519709";"Ibiúna (SP)";"Total";"Total";"60403";"30621";"29782";"38278";"22566";"15712"
"3519808";"Icém (SP)";"Total";"Total";"6426";"3228";"3198";"3878";"2370";"1508"
"3519907";"Iepê (SP)";"Total";"Total";"6630";"3276";"3355";"3497";"2069";"1427"
"3520004";"Igaraçu do Tietê (SP)";"Total";"Total";"20089";"9843";"10247";"12253";"7079";"5174"
"3520103";"Igarapava (SP)";"Total";"Total";"24200";"11988";"12212";"14328";"8353";"5975"
"3520202";"Igaratá (SP)";"Total";"Total";"7515";"3834";"3681";"4620";"2761";"1858"
"3520301";"Iguape (SP)";"Total";"Total";"24378";"12197";"12181";"12770";"7404";"5367"
"3520400";"Ilhabela (SP)";"Total";"Total";"23659";"11975";"11684";"16533";"9069";"7464"
"3520426";"Ilha Comprida (SP)";"Total";"Total";"7775";"3819";"3956";"3789";"2107";"1682"
"3520442";"Ilha Solteira (SP)";"Total";"Total";"22384";"10854";"11530";"13171";"7141";"6030"
"3520509";"Indaiatuba (SP)";"Total";"Total";"175121";"86658";"88463";"113547";"64201";"49346"
"3520608";"Indiana (SP)";"Total";"Total";"4260";"2148";"2112";"2534";"1491";"1043"
"3520707";"Indiaporã (SP)";"Total";"Total";"3503";"1710";"1793";"1828";"1093";"736"
"3520806";"Inúbia Paulista (SP)";"Total";"Total";"3196";"1606";"1590";"1906";"1143";"764"
"3520905";"Ipaussu (SP)";"Total";"Total";"11727";"5903";"5824";"6461";"3945";"2516"
"3521002";"Iperó (SP)";"Total";"Total";"23944";"13026";"10917";"12526";"7523";"5003"
"3521101";"Ipeúna (SP)";"Total";"Total";"5083";"2650";"2433";"3261";"1982";"1280"
"3521150";"Ipiguá (SP)";"Total";"Total";"3910";"1988";"1922";"2095";"1284";"811"
"3521200";"Iporanga (SP)";"Total";"Total";"3588";"1819";"1768";"2168";"1292";"877"
"3521309";"Ipuã (SP)";"Total";"Total";"12030";"6176";"5854";"6899";"4381";"2518"
"3521408";"Iracemápolis (SP)";"Total";"Total";"17314";"8616";"8698";"10029";"5882";"4147"
"3521507";"Irapuã (SP)";"Total";"Total";"6297";"3338";"2958";"3908";"2557";"1351"
"3521606";"Irapuru (SP)";"Total";"Total";"7081";"4152";"2930";"3202";"2029";"1173"
"3521705";"Itaberá (SP)";"Total";"Total";"15250";"7648";"7602";"8321";"5088";"3233"
"3521804";"Itaí (SP)";"Total";"Total";"20530";"11009";"9520";"11099";"6769";"4330"
"3521903";"Itajobi (SP)";"Total";"Total";"13040";"6555";"6485";"7838";"4628";"3210"
"3522000";"Itaju (SP)";"Total";"Total";"2810";"1478";"1332";"1710";"1137";"573"
"3522109";"Itanhaém (SP)";"Total";"Total";"73593";"35385";"38208";"41132";"22659";"18472"
"3522158";"Itaoca (SP)";"Total";"Total";"2788";"1448";"1340";"1492";"979";"513"
"3522208";"Itapecerica da Serra (SP)";"Total";"Total";"128346";"63947";"64399";"76972";"42050";"34923"
"3522307";"Itapetininga (SP)";"Total";"Total";"123029";"61296";"61733";"70653";"39846";"30807"
"3522406";"Itapeva (SP)";"Total";"Total";"73952";"36250";"37702";"40126";"23882";"16244"
"3522505";"Itapevi (SP)";"Total";"Total";"165780";"80809";"84971";"96774";"53993";"42781"
"3522604";"Itapira (SP)";"Total";"Total";"60996";"30108";"30889";"36812";"21198";"15614"
"3522653";"Itapirapuã Paulista (SP)";"Total";"Total";"3138";"1618";"1519";"1622";"1015";"607"
"3522703";"Itápolis (SP)";"Total";"Total";"35321";"17537";"17784";"22315";"12744";"9571"
"3522802";"Itaporanga (SP)";"Total";"Total";"12355";"6162";"6193";"6815";"4115";"2700"
"3522901";"Itapuí (SP)";"Total";"Total";"10396";"5234";"5162";"6358";"3743";"2615"
"3523008";"Itapura (SP)";"Total";"Total";"3752";"1951";"1800";"1988";"1174";"814"
"3523107";"Itaquaquecetuba (SP)";"Total";"Total";"266095";"130138";"135958";"153113";"87291";"65822"
"3523206";"Itararé (SP)";"Total";"Total";"40691";"19897";"20794";"21950";"13053";"8898"
"3523305";"Itariri (SP)";"Total";"Total";"12680";"6359";"6321";"6477";"4025";"2452"
"3523404";"Itatiba (SP)";"Total";"Total";"88324";"43414";"44910";"56739";"31723";"25016"
"3523503";"Itatinga (SP)";"Total";"Total";"15059";"7712";"7347";"8868";"5400";"3468"
"3523602";"Itirapina (SP)";"Total";"Total";"13659";"8203";"5456";"7160";"4381";"2779"
"3523701";"Itirapuã (SP)";"Total";"Total";"4992";"2550";"2442";"2788";"1684";"1103"
"3523800";"Itobi (SP)";"Total";"Total";"6550";"3396";"3154";"3983";"2452";"1532"
"3523909";"Itu (SP)";"Total";"Total";"133225";"65399";"67826";"82729";"46425";"36304"
"3524006";"Itupeva (SP)";"Total";"Total";"37954";"19214";"18740";"25009";"14341";"10668"
"3524105";"Ituverava (SP)";"Total";"Total";"33866";"16414";"17452";"20077";"11282";"8795"
"3524204";"Jaborandi (SP)";"Total";"Total";"5723";"2882";"2841";"3122";"1997";"1124"
"3524303";"Jaboticabal (SP)";"Total";"Total";"62713";"30299";"32414";"37873";"21043";"16830"
"3524402";"Jacareí (SP)";"Total";"Total";"181807";"88158";"93649";"107818";"60789";"47029"
"3524501";"Jaci (SP)";"Total";"Total";"4933";"2508";"2425";"3073";"1804";"1269"
"3524600";"Jacupiranga (SP)";"Total";"Total";"14381";"7270";"7111";"7639";"4783";"2856"
"3524709";"Jaguariúna (SP)";"Total";"Total";"38423";"18980";"19443";"24777";"13937";"10840"
"3524808";"Jales (SP)";"Total";"Total";"42013";"20406";"21607";"25860";"14519";"11341"
"3524907";"Jambeiro (SP)";"Total";"Total";"4546";"2364";"2182";"2816";"1732";"1084"
"3525003";"Jandira (SP)";"Total";"Total";"91253";"44281";"46972";"59112";"32117";"26995"
"3525102";"Jardinópolis (SP)";"Total";"Total";"32026";"16034";"15992";"17298";"10364";"6934"
"3525201";"Jarinu (SP)";"Total";"Total";"20330";"10249";"10081";"13171";"7515";"5656"
"3525300";"Jaú (SP)";"Total";"Total";"114060";"55443";"58617";"74506";"41121";"33385"
"3525409";"Jeriquara (SP)";"Total";"Total";"2653";"1353";"1300";"1613";"1004";"610"
"3525508";"Joanópolis (SP)";"Total";"Total";"10216";"5119";"5097";"6376";"3647";"2729"
"3525607";"João Ramalho (SP)";"Total";"Total";"3538";"1792";"1746";"2099";"1263";"836"
"3525706";"José Bonifácio (SP)";"Total";"Total";"28619";"14183";"14436";"18376";"10586";"7790"
"3525805";"Júlio Mesquita (SP)";"Total";"Total";"3788";"1857";"1931";"2085";"1177";"907"
"3525854";"Jumirim (SP)";"Total";"Total";"2406";"1247";"1159";"1673";"1003";"670"
"3525904";"Jundiaí (SP)";"Total";"Total";"325159";"157139";"168020";"203600";"112390";"91211"
"3526001";"Junqueirópolis (SP)";"Total";"Total";"16620";"8857";"7764";"9821";"6167";"3654"
"3526100";"Juquiá (SP)";"Total";"Total";"16261";"8179";"8082";"8226";"5008";"3217"
"3526209";"Juquitiba (SP)";"Total";"Total";"24023";"12155";"11868";"14045";"8329";"5716"
"3526308";"Lagoinha (SP)";"Total";"Total";"4260";"2196";"2064";"2374";"1542";"832"
"3526407";"Laranjal Paulista (SP)";"Total";"Total";"22055";"10851";"11204";"14211";"7843";"6367"
"3526506";"Lavínia (SP)";"Total";"Total";"8202";"5878";"2325";"2577";"1473";"1104"
"3526605";"Lavrinhas (SP)";"Total";"Total";"5520";"2742";"2778";"2556";"1575";"981"
"3526704";"Leme (SP)";"Total";"Total";"78781";"39432";"39349";"49193";"29450";"19744"
"3526803";"Lençóis Paulista (SP)";"Total";"Total";"53079";"26281";"26798";"33098";"18912";"14186"
"3526902";"Limeira (SP)";"Total";"Total";"240784";"117590";"123195";"148453";"82609";"65843"
"3527009";"Lindóia (SP)";"Total";"Total";"5847";"2892";"2955";"3799";"2092";"1707"
"3527108";"Lins (SP)";"Total";"Total";"63012";"30268";"32744";"38200";"21116";"17085"
"3527207";"Lorena (SP)";"Total";"Total";"71205";"34046";"37159";"39730";"22335";"17395"
"3527256";"Lourdes (SP)";"Total";"Total";"1882";"987";"896";"1118";"676";"442"
"3527306";"Louveira (SP)";"Total";"Total";"31756";"16110";"15646";"22095";"12607";"9488"
"3527405";"Lucélia (SP)";"Total";"Total";"17436";"9235";"8201";"9430";"5523";"3908"
"3527504";"Lucianópolis (SP)";"Total";"Total";"1936";"965";"971";"1201";"696";"504"
"3527603";"Luís Antônio (SP)";"Total";"Total";"9506";"4876";"4630";"5878";"3557";"2320"
"3527702";"Luiziânia (SP)";"Total";"Total";"4392";"2263";"2129";"2511";"1639";"873"
"3527801";"Lupércio (SP)";"Total";"Total";"3737";"1821";"1916";"2219";"1263";"955"
"3527900";"Lutécia (SP)";"Total";"Total";"2358";"1175";"1183";"1352";"803";"549"
"3528007";"Macatuba (SP)";"Total";"Total";"13923";"6979";"6944";"8242";"4900";"3341"
"3528106";"Macaubal (SP)";"Total";"Total";"6844";"3466";"3378";"3965";"2465";"1500"
"3528205";"Macedônia (SP)";"Total";"Total";"3258";"1632";"1626";"2048";"1160";"888"
"3528304";"Magda (SP)";"Total";"Total";"2869";"1472";"1396";"1589";"1012";"578"
"3528403";"Mairinque (SP)";"Total";"Total";"36816";"18279";"18537";"21065";"11841";"9225"
"3528502";"Mairiporã (SP)";"Total";"Total";"69825";"35285";"34540";"39540";"23073";"16467"
"3528601";"Manduri (SP)";"Total";"Total";"7767";"3884";"3883";"4958";"2897";"2061"
"3528700";"Marabá Paulista (SP)";"Total";"Total";"4324";"2804";"1520";"1989";"1348";"641"
"3528809";"Maracaí (SP)";"Total";"Total";"11584";"5817";"5767";"6997";"4267";"2730"
"3528858";"Marapoama (SP)";"Total";"Total";"2327";"1178";"1150";"1374";"846";"528"
"3528908";"Mariápolis (SP)";"Total";"Total";"3445";"1785";"1660";"1899";"1216";"683"
"3529005";"Marília (SP)";"Total";"Total";"190464";"91314";"99150";"115700";"62632";"53067"
"3529104";"Marinópolis (SP)";"Total";"Total";"1860";"936";"924";"1058";"655";"404"
"3529203";"Martinópolis (SP)";"Total";"Total";"21226";"11043";"10184";"11745";"6947";"4798"
"3529302";"Matão (SP)";"Total";"Total";"67474";"33416";"34059";"39483";"23050";"16433"
"3529401";"Mauá (SP)";"Total";"Total";"357459";"173748";"183712";"214709";"120336";"94373"
"3529500";"Mendonça (SP)";"Total";"Total";"4141";"2108";"2034";"2557";"1510";"1047"
"3529609";"Meridiano (SP)";"Total";"Total";"3420";"1678";"1742";"2095";"1171";"924"
"3529658";"Mesópolis (SP)";"Total";"Total";"1651";"836";"815";"899";"548";"351"
"3529708";"Miguelópolis (SP)";"Total";"Total";"17371";"8716";"8654";"10543";"6111";"4432"
"3529807";"Mineiros do Tietê (SP)";"Total";"Total";"10412";"5186";"5226";"6546";"3777";"2768"
"3529906";"Miracatu (SP)";"Total";"Total";"16989";"8585";"8404";"8847";"5667";"3179"
"3530003";"Mira Estrela (SP)";"Total";"Total";"2493";"1243";"1250";"1403";"835";"568"
"3530102";"Mirandópolis (SP)";"Total";"Total";"24654";"13636";"11018";"12662";"7500";"5162"
"3530201";"Mirante do Paranapanema (SP)";"Total";"Total";"14740";"7469";"7272";"8010";"4901";"3109"
"3530300";"Mirassol (SP)";"Total";"Total";"47391";"23151";"24241";"28792";"16086";"12706"
"3530409";"Mirassolândia (SP)";"Total";"Total";"3745";"1913";"1832";"2211";"1341";"870"
"3530508";"Mococa (SP)";"Total";"Total";"58044";"28850";"29194";"32294";"19089";"13205"
"3530607";"Mogi das Cruzes (SP)";"Total";"Total";"329764";"159190";"170575";"193075";"107864";"85211"
"3530706";"Mogi Guaçu (SP)";"Total";"Total";"119833";"59341";"60491";"70952";"41258";"29693"
"3530805";"Mogi Mirim (SP)";"Total";"Total";"75901";"37165";"38736";"44874";"25354";"19520"
"3530904";"Mombuca (SP)";"Total";"Total";"2782";"1417";"1365";"1345";"816";"529"
"3531001";"Monções (SP)";"Total";"Total";"1904";"982";"923";"1181";"692";"489"
"3531100";"Mongaguá (SP)";"Total";"Total";"39371";"19415";"19955";"19936";"11034";"8902"
"3531209";"Monte Alegre do Sul (SP)";"Total";"Total";"6310";"3193";"3116";"4086";"2405";"1681"
"3531308";"Monte Alto (SP)";"Total";"Total";"41407";"20330";"21077";"26375";"14997";"11378"
"3531407";"Monte Aprazível (SP)";"Total";"Total";"19144";"9498";"9646";"11921";"7129";"4792"
"3531506";"Monte Azul Paulista (SP)";"Total";"Total";"16669";"8283";"8386";"10630";"6188";"4441"
"3531605";"Monte Castelo (SP)";"Total";"Total";"3615";"1787";"1828";"2128";"1257";"871"
"3531704";"Monteiro Lobato (SP)";"Total";"Total";"3545";"1860";"1686";"2059";"1285";"774"
"3531803";"Monte Mor (SP)";"Total";"Total";"41674";"20710";"20964";"25517";"14866";"10651"
"3531902";"Morro Agudo (SP)";"Total";"Total";"24622";"12593";"12029";"14461";"9049";"5412"
"3532009";"Morungaba (SP)";"Total";"Total";"10146";"5086";"5060";"6128";"3571";"2557"
"3532058";"Motuca (SP)";"Total";"Total";"3690";"1861";"1829";"1727";"1021";"706"
"3532108";"Murutinga do Sul (SP)";"Total";"Total";"3734";"1860";"1874";"2131";"1296";"836"
"3532157";"Nantes (SP)";"Total";"Total";"2273";"1139";"1134";"1237";"752";"485"
"3532207";"Narandiba (SP)";"Total";"Total";"3668";"1845";"1823";"2151";"1317";"834"
"3532306";"Natividade da Serra (SP)";"Total";"Total";"5836";"3091";"2745";"2943";"1972";"971"
"3532405";"Nazaré Paulista (SP)";"Total";"Total";"14261";"7354";"6907";"7371";"4719";"2651"
"3532504";"Neves Paulista (SP)";"Total";"Total";"7929";"3940";"3989";"4746";"2798";"1948"
"3532603";"Nhandeara (SP)";"Total";"Total";"9669";"4749";"4919";"5208";"3156";"2053"
"3532702";"Nipoã (SP)";"Total";"Total";"3703";"1949";"1754";"2231";"1444";"787"
"3532801";"Nova Aliança (SP)";"Total";"Total";"5191";"2560";"2631";"3160";"1814";"1346"
"3532827";"Nova Campina (SP)";"Total";"Total";"7013";"3593";"3419";"3352";"2269";"1082"
"3532843";"Nova Canaã Paulista (SP)";"Total";"Total";"1917";"981";"936";"1114";"675";"440"
"3532868";"Nova Castilho (SP)";"Total";"Total";"978";"466";"511";"588";"365";"223"
"3532900";"Nova Europa (SP)";"Total";"Total";"7894";"3960";"3933";"4968";"2968";"2000"
"3533007";"Nova Granada (SP)";"Total";"Total";"16781";"8417";"8364";"10136";"6126";"4010"
"3533106";"Nova Guataporanga (SP)";"Total";"Total";"1926";"955";"971";"1023";"609";"413"
"3533205";"Nova Independência (SP)";"Total";"Total";"2589";"1290";"1299";"1393";"854";"539"
"3533254";"Novais (SP)";"Total";"Total";"3847";"2088";"1759";"2525";"1654";"871"
"3533304";"Nova Luzitânia (SP)";"Total";"Total";"2969";"1579";"1390";"1865";"1132";"733"
"3533403";"Nova Odessa (SP)";"Total";"Total";"44927";"22286";"22641";"27813";"15626";"12187"
"3533502";"Novo Horizonte (SP)";"Total";"Total";"31824";"15800";"16024";"18919";"11364";"7555"
"3533601";"Nuporanga (SP)";"Total";"Total";"5957";"2958";"2999";"3487";"2074";"1412"
"3533700";"Ocauçu (SP)";"Total";"Total";"3590";"1853";"1736";"2087";"1338";"749"
"3533809";"Óleo (SP)";"Total";"Total";"2339";"1172";"1166";"1438";"902";"536"
"3533908";"Olímpia (SP)";"Total";"Total";"43830";"21460";"22370";"26506";"15523";"10983"
"3534005";"Onda Verde (SP)";"Total";"Total";"3331";"1694";"1637";"1956";"1177";"778"
"3534104";"Oriente (SP)";"Total";"Total";"5384";"2628";"2755";"3096";"1767";"1330"
"3534203";"Orindiúva (SP)";"Total";"Total";"4829";"2465";"2364";"3059";"1926";"1133"
"3534302";"Orlândia (SP)";"Total";"Total";"34596";"16897";"17699";"20505";"11864";"8641"
"3534401";"Osasco (SP)";"Total";"Total";"574104";"273503";"300601";"346658";"186999";"159659"
"3534500";"Oscar Bressane (SP)";"Total";"Total";"2256";"1070";"1186";"1241";"719";"523"
"3534609";"Osvaldo Cruz (SP)";"Total";"Total";"27662";"13942";"13720";"16097";"9088";"7009"
"3534708";"Ourinhos (SP)";"Total";"Total";"89211";"43015";"46196";"52501";"29720";"22781"
"3534757";"Ouroeste (SP)";"Total";"Total";"7354";"3634";"3719";"4339";"2509";"1829"
"3534807";"Ouro Verde (SP)";"Total";"Total";"6657";"3286";"3371";"3480";"2088";"1392"
"3534906";"Pacaembu (SP)";"Total";"Total";"11983";"7101";"4882";"5910";"3676";"2233"
"3535002";"Palestina (SP)";"Total";"Total";"9768";"4931";"4837";"6080";"3744";"2336"
"3535101";"Palmares Paulista (SP)";"Total";"Total";"9295";"5051";"4243";"5950";"3875";"2076"
"3535200";"Palmeira d'Oeste (SP)";"Total";"Total";"8568";"4268";"4300";"5225";"3046";"2179"
"3535309";"Palmital (SP)";"Total";"Total";"18627";"9039";"9587";"9863";"5704";"4159"
"3535408";"Panorama (SP)";"Total";"Total";"12343";"6148";"6195";"7460";"4474";"2986"
"3535507";"Paraguaçu Paulista (SP)";"Total";"Total";"36716";"18360";"18356";"20264";"11582";"8682"
"3535606";"Paraibuna (SP)";"Total";"Total";"14998";"7636";"7362";"8574";"5144";"3429"
"3535705";"Paraíso (SP)";"Total";"Total";"5187";"2674";"2513";"3252";"2032";"1220"
"3535804";"Paranapanema (SP)";"Total";"Total";"15134";"7668";"7465";"8888";"5158";"3730"
"3535903";"Paranapuã (SP)";"Total";"Total";"3349";"1714";"1635";"1941";"1205";"735"
"3536000";"Parapuã (SP)";"Total";"Total";"9543";"4850";"4693";"5627";"3499";"2128"
"3536109";"Pardinho (SP)";"Total";"Total";"4707";"2410";"2297";"2973";"1730";"1242"
"3536208";"Pariquera-Açu (SP)";"Total";"Total";"15673";"7734";"7939";"8840";"5185";"3655"
"3536257";"Parisi (SP)";"Total";"Total";"1804";"930";"874";"1143";"686";"458"
"3536307";"Patrocínio Paulista (SP)";"Total";"Total";"11074";"5649";"5425";"6803";"4110";"2693"
"3536406";"Paulicéia (SP)";"Total";"Total";"5407";"2813";"2594";"2986";"1928";"1058"
"3536505";"Paulínia (SP)";"Total";"Total";"70047";"34637";"35410";"46082";"25869";"20213"
"3536570";"Paulistânia (SP)";"Total";"Total";"1549";"809";"740";"905";"575";"330"
"3536604";"Paulo de Faria (SP)";"Total";"Total";"7435";"3685";"3750";"4418";"2722";"1695"
"3536703";"Pederneiras (SP)";"Total";"Total";"35604";"17830";"17774";"21585";"12943";"8642"
"3536802";"Pedra Bela (SP)";"Total";"Total";"5078";"2651";"2427";"2913";"1897";"1017"
"3536901";"Pedranópolis (SP)";"Total";"Total";"2273";"1163";"1111";"1329";"771";"558"
"3537008";"Pedregulho (SP)";"Total";"Total";"13467";"6851";"6617";"7994";"4817";"3177"
"3537107";"Pedreira (SP)";"Total";"Total";"36324";"17896";"18428";"24148";"13001";"11147"
"3537156";"Pedrinhas Paulista (SP)";"Total";"Total";"2592";"1279";"1313";"1496";"904";"592"
"3537206";"Pedro de Toledo (SP)";"Total";"Total";"8534";"4322";"4212";"4459";"2813";"1646"
"3537305";"Penápolis (SP)";"Total";"Total";"51330";"24943";"26387";"31422";"17666";"13756"
"3537404";"Pereira Barreto (SP)";"Total";"Total";"21699";"10597";"11102";"12898";"7373";"5525"
"3537503";"Pereiras (SP)";"Total";"Total";"6394";"3226";"3168";"4282";"2382";"1900"
"3537602";"Peruíbe (SP)";"Total";"Total";"50845";"24646";"26199";"28752";"15979";"12773"
"3537701";"Piacatu (SP)";"Total";"Total";"4627";"2318";"2309";"2635";"1582";"1053"
"3537800";"Piedade (SP)";"Total";"Total";"45041";"23017";"22024";"26319";"15892";"10428"
"3537909";"Pilar do Sul (SP)";"Total";"Total";"22495";"11382";"11113";"11624";"7060";"4564"
"3538006";"Pindamonhangaba (SP)";"Total";"Total";"126018";"61695";"64322";"75117";"43480";"31637"
"3538105";"Pindorama (SP)";"Total";"Total";"13282";"6756";"6526";"7698";"4628";"3070"
"3538204";"Pinhalzinho (SP)";"Total";"Total";"11454";"5770";"5684";"6977";"4063";"2914"
"3538303";"Piquerobi (SP)";"Total";"Total";"3099";"1529";"1570";"1513";"950";"564"
"3538501";"Piquete (SP)";"Total";"Total";"12322";"5917";"6405";"6235";"3637";"2598"
"3538600";"Piracaia (SP)";"Total";"Total";"21906";"10906";"11000";"13436";"7627";"5809"
"3538709";"Piracicaba (SP)";"Total";"Total";"318222";"154634";"163587";"192935";"108273";"84663"
"3538808";"Piraju (SP)";"Total";"Total";"24745";"11934";"12811";"15100";"8275";"6825"
"3538907";"Pirajuí (SP)";"Total";"Total";"20228";"11296";"8932";"10851";"6518";"4332"
"3539004";"Pirangi (SP)";"Total";"Total";"9472";"4810";"4661";"5901";"3659";"2242"
"3539103";"Pirapora do Bom Jesus (SP)";"Total";"Total";"12949";"6416";"6532";"7091";"3932";"3159"
"3539202";"Pirapozinho (SP)";"Total";"Total";"21589";"10501";"11087";"12747";"7256";"5491"
"3539301";"Pirassununga (SP)";"Total";"Total";"61315";"29746";"31569";"36823";"20552";"16271"
"3539400";"Piratininga (SP)";"Total";"Total";"10559";"5220";"5339";"6407";"3679";"2728"
"3539509";"Pitangueiras (SP)";"Total";"Total";"29705";"15118";"14588";"17557";"10554";"7003"
"3539608";"Planalto (SP)";"Total";"Total";"3786";"1941";"1845";"2015";"1393";"622"
"3539707";"Platina (SP)";"Total";"Total";"2702";"1402";"1300";"1498";"962";"536"
"3539806";"Poá (SP)";"Total";"Total";"90274";"43166";"47108";"53259";"29411";"23848"
"3539905";"Poloni (SP)";"Total";"Total";"4754";"2335";"2418";"3112";"1831";"1281"
"3540002";"Pompéia (SP)";"Total";"Total";"17555";"8511";"9044";"10450";"5798";"4652"
"3540101";"Pongaí (SP)";"Total";"Total";"3130";"1604";"1526";"1864";"1125";"739"
"3540200";"Pontal (SP)";"Total";"Total";"33694";"17909";"15786";"19956";"13433";"6523"
"3540259";"Pontalinda (SP)";"Total";"Total";"3503";"1846";"1657";"2203";"1378";"825"
"3540309";"Pontes Gestal (SP)";"Total";"Total";"2216";"1113";"1103";"1272";"747";"525"
"3540408";"Populina (SP)";"Total";"Total";"3729";"1905";"1824";"2224";"1323";"901"
"3540507";"Porangaba (SP)";"Total";"Total";"7247";"3746";"3501";"3807";"2407";"1400"
"3540606";"Porto Feliz (SP)";"Total";"Total";"42314";"21186";"21128";"26325";"15223";"11102"
"3540705";"Porto Ferreira (SP)";"Total";"Total";"44555";"21940";"22614";"27373";"15842";"11532"
"3540754";"Potim (SP)";"Total";"Total";"16542";"9553";"6989";"9350";"5321";"4029"
"3540804";"Potirendaba (SP)";"Total";"Total";"13611";"6926";"6685";"8628";"5272";"3356"
"3540853";"Pracinha (SP)";"Total";"Total";"2636";"1976";"661";"710";"415";"295"
"3540903";"Pradópolis (SP)";"Total";"Total";"14871";"7588";"7283";"9053";"5624";"3428"
"3541000";"Praia Grande (SP)";"Total";"Total";"223057";"106081";"116976";"128806";"71270";"57536"
"3541059";"Pratânia (SP)";"Total";"Total";"3905";"2018";"1886";"2312";"1458";"853"
"3541109";"Presidente Alves (SP)";"Total";"Total";"3620";"1767";"1853";"2150";"1251";"899"
"3541208";"Presidente Bernardes (SP)";"Total";"Total";"12135";"5929";"6206";"6701";"3898";"2803"
"3541307";"Presidente Epitácio (SP)";"Total";"Total";"35625";"17245";"18381";"19434";"11021";"8413"
"3541406";"Presidente Prudente (SP)";"Total";"Total";"182081";"86798";"95284";"110885";"60184";"50701"
"3541505";"Presidente Venceslau (SP)";"Total";"Total";"33722";"16745";"16977";"17928";"9992";"7936"
"3541604";"Promissão (SP)";"Total";"Total";"30751";"15310";"15442";"18055";"10758";"7297"
"3541653";"Quadra (SP)";"Total";"Total";"2766";"1459";"1307";"1575";"997";"578"
"3541703";"Quatá (SP)";"Total";"Total";"10950";"5442";"5508";"6356";"3798";"2558"
"3541802";"Queiroz (SP)";"Total";"Total";"2343";"1207";"1135";"1279";"806";"473"
"3541901";"Queluz (SP)";"Total";"Total";"9584";"4914";"4670";"5128";"3178";"1950"
"3542008";"Quintana (SP)";"Total";"Total";"5242";"2572";"2670";"2885";"1750";"1135"
"3542107";"Rafard (SP)";"Total";"Total";"7393";"3618";"3775";"4421";"2536";"1885"
"3542206";"Rancharia (SP)";"Total";"Total";"25008";"12165";"12843";"14510";"8293";"6217"
"3542305";"Redenção da Serra (SP)";"Total";"Total";"3340";"1732";"1608";"1474";"1018";"455"
"3542404";"Regente Feijó (SP)";"Total";"Total";"16177";"7974";"8202";"9778";"5696";"4082"
"3542503";"Reginópolis (SP)";"Total";"Total";"6597";"4335";"2261";"3135";"2102";"1032"
"3542602";"Registro (SP)";"Total";"Total";"46081";"22427";"23655";"26033";"14740";"11293"
"3542701";"Restinga (SP)";"Total";"Total";"5475";"2725";"2750";"3292";"1875";"1417"
"3542800";"Ribeira (SP)";"Total";"Total";"2822";"1467";"1355";"1315";"903";"413"
"3542909";"Ribeirão Bonito (SP)";"Total";"Total";"10262";"5145";"5116";"6146";"3666";"2481"
"3543006";"Ribeirão Branco (SP)";"Total";"Total";"14973";"7695";"7278";"7988";"5068";"2920"
"3543105";"Ribeirão Corrente (SP)";"Total";"Total";"3598";"1882";"1716";"2389";"1446";"943"
"3543204";"Ribeirão do Sul (SP)";"Total";"Total";"3904";"1950";"1954";"2205";"1367";"839"
"3543238";"Ribeirão dos Índios (SP)";"Total";"Total";"1946";"966";"980";"1146";"649";"497"
"3543253";"Ribeirão Grande (SP)";"Total";"Total";"6333";"3236";"3096";"3566";"2222";"1344"
"3543303";"Ribeirão Pires (SP)";"Total";"Total";"98781";"47984";"50797";"57575";"32464";"25111"
"3543402";"Ribeirão Preto (SP)";"Total";"Total";"529869";"252103";"277766";"342472";"183162";"159310"
"3543501";"Riversul (SP)";"Total";"Total";"5262";"2617";"2645";"2520";"1603";"916"
"3543600";"Rifaina (SP)";"Total";"Total";"2994";"1493";"1501";"1890";"1072";"818"
"3543709";"Rincão (SP)";"Total";"Total";"8886";"4465";"4421";"4976";"3114";"1861"
"3543808";"Rinópolis (SP)";"Total";"Total";"8721";"4441";"4280";"5021";"3053";"1969"
"3543907";"Rio Claro (SP)";"Total";"Total";"163786";"79013";"84773";"102802";"57277";"45525"
"3544004";"Rio das Pedras (SP)";"Total";"Total";"25127";"12722";"12406";"16219";"9559";"6661"
"3544103";"Rio Grande da Serra (SP)";"Total";"Total";"37039";"18291";"18747";"22270";"12718";"9552"
