"Tabela 3548 - Pessoas de 10 anos ou mais de idade, Valor do rendimento nominal médio mensal, e mediano mensal, das pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência, segundo a situação do domicílio, o sexo, as classes de rendimento nominal mensal e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Ano x Condição de atividade x Situação do domicílio x Sexo"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"2010"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";;;"Economicamente ativas"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";;;"Total"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"3504008";"Assis (SP)";"Total";"Total";"83733";"40487";"43246";"49873";"27127";"22747"
"3504107";"Atibaia (SP)";"Total";"Total";"109571";"53485";"56086";"66693";"37450";"29243"
"3504206";"Auriflama (SP)";"Total";"Total";"12606";"6297";"6309";"8143";"4577";"3565"
"3504305";"Avaí (SP)";"Total";"Total";"4251";"2126";"2125";"2255";"1374";"881"
"3504404";"Avanhandava (SP)";"Total";"Total";"9724";"5421";"4304";"4695";"2973";"1721"
"3504503";"Avaré (SP)";"Total";"Total";"71767";"35376";"36391";"42691";"23716";"18976"
"3504602";"Bady Bassitt (SP)";"Total";"Total";"12773";"6337";"6436";"8337";"4739";"3598"
"3504701";"Balbinos (SP)";"Total";"Total";"3532";"2917";"615";"1262";"939";"323"
"3504800";"Bálsamo (SP)";"Total";"Total";"7302";"3571";"3732";"4389";"2598";"1790"
"3504909";"Bananal (SP)";"Total";"Total";"8802";"4306";"4496";"4982";"2909";"2074"
"3505005";"Barão de Antonina (SP)";"Total";"Total";"2647";"1347";"1300";"1597";"938";"658"
"3505104";"Barbosa (SP)";"Total";"Total";"5621";"2837";"2783";"2908";"1846";"1062"
"3505203";"Bariri (SP)";"Total";"Total";"27402";"13644";"13758";"16559";"9818";"6742"
"3505302";"Barra Bonita (SP)";"Total";"Total";"31427";"15246";"16182";"19375";"11172";"8203"
"3505351";"Barra do Chapéu (SP)";"Total";"Total";"4366";"2340";"2027";"2313";"1539";"774"
"3505401";"Barra do Turvo (SP)";"Total";"Total";"6368";"3298";"3070";"3033";"1938";"1095"
"3505500";"Barretos (SP)";"Total";"Total";"98249";"47075";"51174";"60442";"33022";"27420"
"3505609";"Barrinha (SP)";"Total";"Total";"23844";"11976";"11868";"14773";"8539";"6234"
"3505708";"Barueri (SP)";"Total";"Total";"204324";"98517";"105806";"125594";"69180";"56413"
"3505807";"Bastos (SP)";"Total";"Total";"17557";"8583";"8975";"10703";"6245";"4458"
