"Tabela 616 - Pessoas de 10 anos ou mais de idade por grupos de idade, condição de atividade na semana de referência, sexo e situação do domicílio"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Ano x Condição de atividade x Sexo"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"2010"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Total";"Economicamente ativa";"Não economicamente ativa"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Total";"Total";"Total"
"3500402";"Águas da Prata (SP)";"Total";"18 e 19 anos";"250";"195";"55"
"3500402";"Águas da Prata (SP)";"Total";"20 a 24 anos";"592";"491";"101"
"3500402";"Águas da Prata (SP)";"Total";"25 a 29 anos";"547";"479";"68"
"3500402";"Águas da Prata (SP)";"Total";"30 a 34 anos";"502";"407";"95"
"3500402";"Águas da Prata (SP)";"Total";"35 a 39 anos";"526";"438";"88"
"3500402";"Águas da Prata (SP)";"Total";"40 a 44 anos";"519";"438";"81"
"3500402";"Águas da Prata (SP)";"Total";"45 a 49 anos";"572";"444";"128"
"3500402";"Águas da Prata (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3500402";"Águas da Prata (SP)";"Total";"50 a 54 anos";"517";"395";"123"
"3500402";"Águas da Prata (SP)";"Total";"55 a 59 anos";"452";"260";"191"
"3500402";"Águas da Prata (SP)";"Total";"60 a 69 anos";"674";"244";"430"
"3500402";"Águas da Prata (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3500402";"Águas da Prata (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3500501";"Águas de Lindóia (SP)";"Total";"15 a 19 anos";"1316";"756";"560"
"3500501";"Águas de Lindóia (SP)";"Total";"15 a 17 anos";"781";"388";"393"
"3500501";"Águas de Lindóia (SP)";"Total";"15 anos";"...";"...";"..."
"3500501";"Águas de Lindóia (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3500501";"Águas de Lindóia (SP)";"Total";"18 e 19 anos";"535";"367";"167"
"3500501";"Águas de Lindóia (SP)";"Total";"20 a 24 anos";"1354";"1091";"263"
"3500501";"Águas de Lindóia (SP)";"Total";"25 a 29 anos";"1475";"1183";"292"
"3500501";"Águas de Lindóia (SP)";"Total";"30 a 34 anos";"1407";"1142";"265"
"3500501";"Águas de Lindóia (SP)";"Total";"35 a 39 anos";"1259";"1070";"189"
"3500501";"Águas de Lindóia (SP)";"Total";"40 a 44 anos";"1278";"1018";"260"
"3500501";"Águas de Lindóia (SP)";"Total";"45 a 49 anos";"1165";"907";"258"
"3500501";"Águas de Lindóia (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3500501";"Águas de Lindóia (SP)";"Total";"50 a 54 anos";"1003";"668";"336"
"3500501";"Águas de Lindóia (SP)";"Total";"55 a 59 anos";"972";"514";"457"
"3500501";"Águas de Lindóia (SP)";"Total";"60 a 69 anos";"1314";"408";"906"
"3500501";"Águas de Lindóia (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3500501";"Águas de Lindóia (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3500550";"Águas de Santa Bárbara (SP)";"Total";"15 a 19 anos";"446";"175";"271"
"3500550";"Águas de Santa Bárbara (SP)";"Total";"15 a 17 anos";"280";"72";"208"
"3500550";"Águas de Santa Bárbara (SP)";"Total";"15 anos";"...";"...";"..."
"3500550";"Águas de Santa Bárbara (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3500550";"Águas de Santa Bárbara (SP)";"Total";"18 e 19 anos";"166";"103";"63"
"3500550";"Águas de Santa Bárbara (SP)";"Total";"20 a 24 anos";"402";"317";"85"
"3500550";"Águas de Santa Bárbara (SP)";"Total";"25 a 29 anos";"429";"370";"59"
"3500550";"Águas de Santa Bárbara (SP)";"Total";"30 a 34 anos";"397";"324";"73"
"3500550";"Águas de Santa Bárbara (SP)";"Total";"35 a 39 anos";"415";"321";"94"
"3500550";"Águas de Santa Bárbara (SP)";"Total";"40 a 44 anos";"398";"329";"69"
"3500550";"Águas de Santa Bárbara (SP)";"Total";"45 a 49 anos";"366";"266";"100"
"3500550";"Águas de Santa Bárbara (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3500550";"Águas de Santa Bárbara (SP)";"Total";"50 a 54 anos";"322";"221";"101"
"3500550";"Águas de Santa Bárbara (SP)";"Total";"55 a 59 anos";"327";"168";"159"
"3500550";"Águas de Santa Bárbara (SP)";"Total";"60 a 69 anos";"454";"142";"312"
"3500550";"Águas de Santa Bárbara (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3500550";"Águas de Santa Bárbara (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3500600";"Águas de São Pedro (SP)";"Total";"15 a 19 anos";"201";"80";"121"
"3500600";"Águas de São Pedro (SP)";"Total";"15 a 17 anos";"148";"45";"102"
"3500600";"Águas de São Pedro (SP)";"Total";"15 anos";"...";"...";"..."
"3500600";"Águas de São Pedro (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3500600";"Águas de São Pedro (SP)";"Total";"18 e 19 anos";"53";"34";"19"
"3500600";"Águas de São Pedro (SP)";"Total";"20 a 24 anos";"150";"128";"22"
"3500600";"Águas de São Pedro (SP)";"Total";"25 a 29 anos";"173";"150";"23"
"3500600";"Águas de São Pedro (SP)";"Total";"30 a 34 anos";"186";"176";"10"
"3500600";"Águas de São Pedro (SP)";"Total";"35 a 39 anos";"181";"156";"25"
"3500600";"Águas de São Pedro (SP)";"Total";"40 a 44 anos";"193";"176";"17"
"3500600";"Águas de São Pedro (SP)";"Total";"45 a 49 anos";"196";"166";"30"
"3500600";"Águas de São Pedro (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3500600";"Águas de São Pedro (SP)";"Total";"50 a 54 anos";"143";"123";"21"
"3500600";"Águas de São Pedro (SP)";"Total";"55 a 59 anos";"179";"123";"56"
"3500600";"Águas de São Pedro (SP)";"Total";"60 a 69 anos";"321";"96";"225"
"3500600";"Águas de São Pedro (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3500600";"Águas de São Pedro (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3500709";"Agudos (SP)";"Total";"15 a 19 anos";"3091";"1442";"1649"
"3500709";"Agudos (SP)";"Total";"15 a 17 anos";"2052";"715";"1337"
"3500709";"Agudos (SP)";"Total";"15 anos";"...";"...";"..."
"3500709";"Agudos (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3500709";"Agudos (SP)";"Total";"18 e 19 anos";"1039";"727";"312"
"3500709";"Agudos (SP)";"Total";"20 a 24 anos";"3076";"2563";"513"
"3500709";"Agudos (SP)";"Total";"25 a 29 anos";"2991";"2413";"578"
"3500709";"Agudos (SP)";"Total";"30 a 34 anos";"2825";"2359";"466"
"3500709";"Agudos (SP)";"Total";"35 a 39 anos";"2621";"2138";"483"
"3500709";"Agudos (SP)";"Total";"40 a 44 anos";"2350";"1908";"442"
"3500709";"Agudos (SP)";"Total";"45 a 49 anos";"2194";"1726";"468"
"3500709";"Agudos (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3500709";"Agudos (SP)";"Total";"50 a 54 anos";"1888";"1367";"521"
"3500709";"Agudos (SP)";"Total";"55 a 59 anos";"1792";"1050";"742"
"3500709";"Agudos (SP)";"Total";"60 a 69 anos";"2179";"637";"1542"
