"Tabela 616 - Pessoas de 10 anos ou mais de idade por grupos de idade, condição de atividade na semana de referência, sexo e situação do domicílio"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Ano x Condição de atividade x Sexo"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"2010"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Total";"Economicamente ativa";"Não economicamente ativa"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Total";"Total";"Total"
"3518305";"Guararema (SP)";"Total";"60 a 69 anos";"1712";"618";"1094"
"3518305";"Guararema (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3518305";"Guararema (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3518404";"Guaratinguetá (SP)";"Total";"15 a 19 anos";"9288";"3217";"6071"
"3518404";"Guaratinguetá (SP)";"Total";"15 a 17 anos";"5524";"1229";"4295"
"3518404";"Guaratinguetá (SP)";"Total";"15 anos";"...";"...";"..."
"3518404";"Guaratinguetá (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3518404";"Guaratinguetá (SP)";"Total";"18 e 19 anos";"3764";"1988";"1776"
"3518404";"Guaratinguetá (SP)";"Total";"20 a 24 anos";"9408";"6890";"2518"
"3518404";"Guaratinguetá (SP)";"Total";"25 a 29 anos";"9395";"7571";"1824"
"3518404";"Guaratinguetá (SP)";"Total";"30 a 34 anos";"8906";"7489";"1417"
"3518404";"Guaratinguetá (SP)";"Total";"35 a 39 anos";"8503";"6716";"1787"
"3518404";"Guaratinguetá (SP)";"Total";"40 a 44 anos";"8233";"6498";"1735"
"3518404";"Guaratinguetá (SP)";"Total";"45 a 49 anos";"8170";"6328";"1842"
"3518404";"Guaratinguetá (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3518404";"Guaratinguetá (SP)";"Total";"50 a 54 anos";"6959";"4623";"2336"
"3518404";"Guaratinguetá (SP)";"Total";"55 a 59 anos";"6097";"3444";"2653"
"3518404";"Guaratinguetá (SP)";"Total";"60 a 69 anos";"8138";"2550";"5588"
"3518404";"Guaratinguetá (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3518404";"Guaratinguetá (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3518503";"Guareí (SP)";"Total";"15 a 19 anos";"1118";"602";"516"
"3518503";"Guareí (SP)";"Total";"15 a 17 anos";"607";"245";"362"
"3518503";"Guareí (SP)";"Total";"15 anos";"...";"...";"..."
"3518503";"Guareí (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3518503";"Guareí (SP)";"Total";"18 e 19 anos";"511";"357";"154"
"3518503";"Guareí (SP)";"Total";"20 a 24 anos";"1542";"887";"655"
"3518503";"Guareí (SP)";"Total";"25 a 29 anos";"1781";"984";"797"
"3518503";"Guareí (SP)";"Total";"30 a 34 anos";"1657";"1006";"651"
"3518503";"Guareí (SP)";"Total";"35 a 39 anos";"1222";"920";"302"
"3518503";"Guareí (SP)";"Total";"40 a 44 anos";"1008";"674";"334"
"3518503";"Guareí (SP)";"Total";"45 a 49 anos";"811";"570";"241"
"3518503";"Guareí (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3518503";"Guareí (SP)";"Total";"50 a 54 anos";"646";"403";"243"
"3518503";"Guareí (SP)";"Total";"55 a 59 anos";"641";"343";"299"
"3518503";"Guareí (SP)";"Total";"60 a 69 anos";"769";"175";"594"
"3518503";"Guareí (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3518503";"Guareí (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3518602";"Guariba (SP)";"Total";"15 a 19 anos";"3170";"1674";"1496"
"3518602";"Guariba (SP)";"Total";"15 a 17 anos";"2000";"776";"1224"
"3518602";"Guariba (SP)";"Total";"15 anos";"...";"...";"..."
"3518602";"Guariba (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3518602";"Guariba (SP)";"Total";"18 e 19 anos";"1170";"898";"272"
"3518602";"Guariba (SP)";"Total";"20 a 24 anos";"3556";"2736";"820"
"3518602";"Guariba (SP)";"Total";"25 a 29 anos";"3628";"2954";"674"
"3518602";"Guariba (SP)";"Total";"30 a 34 anos";"2962";"2466";"496"
"3518602";"Guariba (SP)";"Total";"35 a 39 anos";"2581";"2012";"569"
"3518602";"Guariba (SP)";"Total";"40 a 44 anos";"2479";"1882";"597"
"3518602";"Guariba (SP)";"Total";"45 a 49 anos";"2244";"1562";"682"
"3518602";"Guariba (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3518602";"Guariba (SP)";"Total";"50 a 54 anos";"1791";"1065";"726"
"3518602";"Guariba (SP)";"Total";"55 a 59 anos";"1454";"736";"718"
"3518602";"Guariba (SP)";"Total";"60 a 69 anos";"1745";"425";"1320"
"3518602";"Guariba (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3518602";"Guariba (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3518701";"Guarujá (SP)";"Total";"15 a 19 anos";"25462";"10927";"14535"
"3518701";"Guarujá (SP)";"Total";"15 a 17 anos";"15860";"4918";"10942"
"3518701";"Guarujá (SP)";"Total";"15 anos";"...";"...";"..."
"3518701";"Guarujá (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3518701";"Guarujá (SP)";"Total";"18 e 19 anos";"9602";"6009";"3593"
"3518701";"Guarujá (SP)";"Total";"20 a 24 anos";"25407";"18790";"6617"
"3518701";"Guarujá (SP)";"Total";"25 a 29 anos";"25679";"20024";"5655"
"3518701";"Guarujá (SP)";"Total";"30 a 34 anos";"24639";"19611";"5028"
"3518701";"Guarujá (SP)";"Total";"35 a 39 anos";"22927";"18251";"4676"
"3518701";"Guarujá (SP)";"Total";"40 a 44 anos";"21417";"16591";"4826"
"3518701";"Guarujá (SP)";"Total";"45 a 49 anos";"18943";"13965";"4978"
"3518701";"Guarujá (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3518701";"Guarujá (SP)";"Total";"50 a 54 anos";"16171";"10394";"5777"
"3518701";"Guarujá (SP)";"Total";"55 a 59 anos";"12510";"7220";"5289"
"3518701";"Guarujá (SP)";"Total";"60 a 69 anos";"15701";"5536";"10165"
"3518701";"Guarujá (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3518701";"Guarujá (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3518800";"Guarulhos (SP)";"Total";"15 a 19 anos";"103868";"48188";"55680"
"3518800";"Guarulhos (SP)";"Total";"15 a 17 anos";"62749";"20311";"42437"
"3518800";"Guarulhos (SP)";"Total";"15 anos";"...";"...";"..."
"3518800";"Guarulhos (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3518800";"Guarulhos (SP)";"Total";"18 e 19 anos";"41119";"27876";"13243"
"3518800";"Guarulhos (SP)";"Total";"20 a 24 anos";"111052";"86025";"25027"
"3518800";"Guarulhos (SP)";"Total";"25 a 29 anos";"114544";"92213";"22331"
"3518800";"Guarulhos (SP)";"Total";"30 a 34 anos";"108856";"87261";"21595"
"3518800";"Guarulhos (SP)";"Total";"35 a 39 anos";"98968";"80221";"18747"
"3518800";"Guarulhos (SP)";"Total";"40 a 44 anos";"91261";"71857";"19404"
"3518800";"Guarulhos (SP)";"Total";"45 a 49 anos";"77470";"57274";"20196"
"3518800";"Guarulhos (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3518800";"Guarulhos (SP)";"Total";"50 a 54 anos";"66345";"44084";"22261"
"3518800";"Guarulhos (SP)";"Total";"55 a 59 anos";"50508";"29807";"20701"
"3518800";"Guarulhos (SP)";"Total";"60 a 69 anos";"61391";"22505";"38886"
"3518800";"Guarulhos (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3518800";"Guarulhos (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3518859";"Guatapará (SP)";"Total";"15 a 19 anos";"635";"293";"342"
"3518859";"Guatapará (SP)";"Total";"15 a 17 anos";"391";"120";"271"
"3518859";"Guatapará (SP)";"Total";"15 anos";"...";"...";"..."
"3518859";"Guatapará (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3518859";"Guatapará (SP)";"Total";"18 e 19 anos";"244";"172";"71"
"3518859";"Guatapará (SP)";"Total";"20 a 24 anos";"575";"437";"138"
"3518859";"Guatapará (SP)";"Total";"25 a 29 anos";"605";"473";"132"
"3518859";"Guatapará (SP)";"Total";"30 a 34 anos";"535";"437";"98"
"3518859";"Guatapará (SP)";"Total";"35 a 39 anos";"494";"405";"89"
"3518859";"Guatapará (SP)";"Total";"40 a 44 anos";"414";"325";"89"
"3518859";"Guatapará (SP)";"Total";"45 a 49 anos";"418";"321";"97"
"3518859";"Guatapará (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3518859";"Guatapará (SP)";"Total";"50 a 54 anos";"457";"268";"189"
"3518859";"Guatapará (SP)";"Total";"55 a 59 anos";"344";"188";"156"
"3518859";"Guatapará (SP)";"Total";"60 a 69 anos";"456";"174";"282"
"3518859";"Guatapará (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3518859";"Guatapará (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3518909";"Guzolândia (SP)";"Total";"15 a 19 anos";"402";"219";"183"
"3518909";"Guzolândia (SP)";"Total";"15 a 17 anos";"232";"91";"141"
"3518909";"Guzolândia (SP)";"Total";"15 anos";"...";"...";"..."
"3518909";"Guzolândia (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3518909";"Guzolândia (SP)";"Total";"18 e 19 anos";"170";"127";"43"
"3518909";"Guzolândia (SP)";"Total";"20 a 24 anos";"396";"290";"106"
"3518909";"Guzolândia (SP)";"Total";"25 a 29 anos";"397";"321";"76"
"3518909";"Guzolândia (SP)";"Total";"30 a 34 anos";"375";"317";"58"
"3518909";"Guzolândia (SP)";"Total";"35 a 39 anos";"335";"273";"62"
"3518909";"Guzolândia (SP)";"Total";"40 a 44 anos";"310";"222";"88"
"3518909";"Guzolândia (SP)";"Total";"45 a 49 anos";"297";"205";"92"
"3518909";"Guzolândia (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3518909";"Guzolândia (SP)";"Total";"50 a 54 anos";"302";"179";"123"
"3518909";"Guzolândia (SP)";"Total";"55 a 59 anos";"263";"136";"127"
"3518909";"Guzolândia (SP)";"Total";"60 a 69 anos";"335";"71";"264"
"3518909";"Guzolândia (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3518909";"Guzolândia (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3519006";"Herculândia (SP)";"Total";"15 a 19 anos";"733";"358";"375"
"3519006";"Herculândia (SP)";"Total";"15 a 17 anos";"408";"145";"262"
"3519006";"Herculândia (SP)";"Total";"15 anos";"...";"...";"..."
"3519006";"Herculândia (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3519006";"Herculândia (SP)";"Total";"18 e 19 anos";"325";"213";"112"
"3519006";"Herculândia (SP)";"Total";"20 a 24 anos";"706";"488";"218"
"3519006";"Herculândia (SP)";"Total";"25 a 29 anos";"722";"547";"175"
"3519006";"Herculândia (SP)";"Total";"30 a 34 anos";"701";"542";"159"
"3519006";"Herculândia (SP)";"Total";"35 a 39 anos";"631";"469";"162"
"3519006";"Herculândia (SP)";"Total";"40 a 44 anos";"621";"440";"181"
"3519006";"Herculândia (SP)";"Total";"45 a 49 anos";"560";"356";"204"
"3519006";"Herculândia (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3519006";"Herculândia (SP)";"Total";"50 a 54 anos";"509";"316";"193"
"3519006";"Herculândia (SP)";"Total";"55 a 59 anos";"381";"220";"161"
"3519006";"Herculândia (SP)";"Total";"60 a 69 anos";"607";"176";"431"
"3519006";"Herculândia (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3519006";"Herculândia (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3519055";"Holambra (SP)";"Total";"15 a 19 anos";"934";"511";"423"
"3519055";"Holambra (SP)";"Total";"15 a 17 anos";"566";"241";"325"
"3519055";"Holambra (SP)";"Total";"15 anos";"...";"...";"..."
"3519055";"Holambra (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3519055";"Holambra (SP)";"Total";"18 e 19 anos";"368";"270";"98"
"3519055";"Holambra (SP)";"Total";"20 a 24 anos";"984";"838";"146"
"3519055";"Holambra (SP)";"Total";"25 a 29 anos";"1023";"894";"129"
"3519055";"Holambra (SP)";"Total";"30 a 34 anos";"1040";"974";"66"
"3519055";"Holambra (SP)";"Total";"35 a 39 anos";"966";"875";"91"
"3519055";"Holambra (SP)";"Total";"40 a 44 anos";"881";"766";"115"
"3519055";"Holambra (SP)";"Total";"45 a 49 anos";"745";"636";"109"
"3519055";"Holambra (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3519055";"Holambra (SP)";"Total";"50 a 54 anos";"619";"520";"99"
"3519055";"Holambra (SP)";"Total";"55 a 59 anos";"575";"426";"149"
"3519055";"Holambra (SP)";"Total";"60 a 69 anos";"606";"222";"384"
"3519055";"Holambra (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3519055";"Holambra (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3519071";"Hortolândia (SP)";"Total";"15 a 19 anos";"17358";"9047";"8311"
"3519071";"Hortolândia (SP)";"Total";"15 a 17 anos";"10433";"3877";"6556"
"3519071";"Hortolândia (SP)";"Total";"15 anos";"...";"...";"..."
"3519071";"Hortolândia (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3519071";"Hortolândia (SP)";"Total";"18 e 19 anos";"6925";"5170";"1755"
"3519071";"Hortolândia (SP)";"Total";"20 a 24 anos";"19065";"14625";"4440"
"3519071";"Hortolândia (SP)";"Total";"25 a 29 anos";"18670";"14651";"4019"
"3519071";"Hortolândia (SP)";"Total";"30 a 34 anos";"17335";"13763";"3572"
"3519071";"Hortolândia (SP)";"Total";"35 a 39 anos";"15588";"12653";"2935"
"3519071";"Hortolândia (SP)";"Total";"40 a 44 anos";"14314";"10997";"3317"
"3519071";"Hortolândia (SP)";"Total";"45 a 49 anos";"12402";"9233";"3169"
"3519071";"Hortolândia (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3519071";"Hortolândia (SP)";"Total";"50 a 54 anos";"10283";"7227";"3057"
"3519071";"Hortolândia (SP)";"Total";"55 a 59 anos";"7822";"4774";"3047"
"3519071";"Hortolândia (SP)";"Total";"60 a 69 anos";"8760";"2690";"6070"
"3519071";"Hortolândia (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3519071";"Hortolândia (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3519105";"Iacanga (SP)";"Total";"15 a 19 anos";"811";"467";"344"
"3519105";"Iacanga (SP)";"Total";"15 a 17 anos";"533";"237";"296"
"3519105";"Iacanga (SP)";"Total";"15 anos";"...";"...";"..."
"3519105";"Iacanga (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3519105";"Iacanga (SP)";"Total";"18 e 19 anos";"278";"230";"48"
"3519105";"Iacanga (SP)";"Total";"20 a 24 anos";"863";"754";"109"
"3519105";"Iacanga (SP)";"Total";"25 a 29 anos";"870";"779";"91"
"3519105";"Iacanga (SP)";"Total";"30 a 34 anos";"868";"748";"120"
"3519105";"Iacanga (SP)";"Total";"35 a 39 anos";"763";"647";"116"
"3519105";"Iacanga (SP)";"Total";"40 a 44 anos";"679";"616";"63"
"3519105";"Iacanga (SP)";"Total";"45 a 49 anos";"646";"513";"133"
"3519105";"Iacanga (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3519105";"Iacanga (SP)";"Total";"50 a 54 anos";"576";"398";"178"
"3519105";"Iacanga (SP)";"Total";"55 a 59 anos";"507";"310";"197"
"3519105";"Iacanga (SP)";"Total";"60 a 69 anos";"726";"315";"411"
"3519105";"Iacanga (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3519105";"Iacanga (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3519204";"Iacri (SP)";"Total";"15 a 19 anos";"504";"250";"254"
"3519204";"Iacri (SP)";"Total";"15 a 17 anos";"331";"125";"206"
"3519204";"Iacri (SP)";"Total";"15 anos";"...";"...";"..."
"3519204";"Iacri (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3519204";"Iacri (SP)";"Total";"18 e 19 anos";"173";"125";"48"
"3519204";"Iacri (SP)";"Total";"20 a 24 anos";"533";"448";"85"
"3519204";"Iacri (SP)";"Total";"25 a 29 anos";"490";"410";"80"
"3519204";"Iacri (SP)";"Total";"30 a 34 anos";"448";"361";"87"
"3519204";"Iacri (SP)";"Total";"35 a 39 anos";"459";"377";"82"
"3519204";"Iacri (SP)";"Total";"40 a 44 anos";"486";"410";"76"
"3519204";"Iacri (SP)";"Total";"45 a 49 anos";"466";"354";"112"
"3519204";"Iacri (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3519204";"Iacri (SP)";"Total";"50 a 54 anos";"371";"251";"120"
"3519204";"Iacri (SP)";"Total";"55 a 59 anos";"358";"180";"178"
"3519204";"Iacri (SP)";"Total";"60 a 69 anos";"529";"170";"359"
"3519204";"Iacri (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3519204";"Iacri (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3519253";"Iaras (SP)";"Total";"15 a 19 anos";"677";"189";"488"
"3519253";"Iaras (SP)";"Total";"15 a 17 anos";"372";"91";"281"
"3519253";"Iaras (SP)";"Total";"15 anos";"...";"...";"..."
"3519253";"Iaras (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3519253";"Iaras (SP)";"Total";"18 e 19 anos";"305";"97";"207"
"3519253";"Iaras (SP)";"Total";"20 a 24 anos";"483";"257";"226"
"3519253";"Iaras (SP)";"Total";"25 a 29 anos";"561";"328";"233"
"3519253";"Iaras (SP)";"Total";"30 a 34 anos";"582";"213";"369"
"3519253";"Iaras (SP)";"Total";"35 a 39 anos";"557";"249";"308"
"3519253";"Iaras (SP)";"Total";"40 a 44 anos";"495";"198";"297"
"3519253";"Iaras (SP)";"Total";"45 a 49 anos";"461";"169";"292"
"3519253";"Iaras (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3519253";"Iaras (SP)";"Total";"50 a 54 anos";"392";"170";"221"
"3519253";"Iaras (SP)";"Total";"55 a 59 anos";"321";"141";"181"
"3519253";"Iaras (SP)";"Total";"60 a 69 anos";"358";"113";"245"
"3519253";"Iaras (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3519253";"Iaras (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3519303";"Ibaté (SP)";"Total";"15 a 19 anos";"2736";"1194";"1542"
"3519303";"Ibaté (SP)";"Total";"15 a 17 anos";"1584";"502";"1082"
"3519303";"Ibaté (SP)";"Total";"15 anos";"...";"...";"..."
"3519303";"Ibaté (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3519303";"Ibaté (SP)";"Total";"18 e 19 anos";"1152";"692";"460"
"3519303";"Ibaté (SP)";"Total";"20 a 24 anos";"3165";"2333";"832"
"3519303";"Ibaté (SP)";"Total";"25 a 29 anos";"3024";"2359";"665"
"3519303";"Ibaté (SP)";"Total";"30 a 34 anos";"2664";"2012";"652"
"3519303";"Ibaté (SP)";"Total";"35 a 39 anos";"2256";"1800";"456"
"3519303";"Ibaté (SP)";"Total";"40 a 44 anos";"2100";"1586";"514"
"3519303";"Ibaté (SP)";"Total";"45 a 49 anos";"1968";"1358";"610"
"3519303";"Ibaté (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3519303";"Ibaté (SP)";"Total";"50 a 54 anos";"1443";"888";"555"
"3519303";"Ibaté (SP)";"Total";"55 a 59 anos";"1302";"582";"720"
"3519303";"Ibaté (SP)";"Total";"60 a 69 anos";"1513";"344";"1169"
"3519303";"Ibaté (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3519303";"Ibaté (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3519402";"Ibirá (SP)";"Total";"15 a 19 anos";"841";"566";"275"
"3519402";"Ibirá (SP)";"Total";"15 a 17 anos";"464";"252";"212"
"3519402";"Ibirá (SP)";"Total";"15 anos";"...";"...";"..."
"3519402";"Ibirá (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3519402";"Ibirá (SP)";"Total";"18 e 19 anos";"377";"314";"63"
"3519402";"Ibirá (SP)";"Total";"20 a 24 anos";"1012";"809";"203"
"3519402";"Ibirá (SP)";"Total";"25 a 29 anos";"987";"827";"160"
"3519402";"Ibirá (SP)";"Total";"30 a 34 anos";"852";"712";"140"
"3519402";"Ibirá (SP)";"Total";"35 a 39 anos";"711";"631";"80"
"3519402";"Ibirá (SP)";"Total";"40 a 44 anos";"744";"577";"167"
"3519402";"Ibirá (SP)";"Total";"45 a 49 anos";"708";"570";"138"
"3519402";"Ibirá (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3519402";"Ibirá (SP)";"Total";"50 a 54 anos";"665";"488";"177"
"3519402";"Ibirá (SP)";"Total";"55 a 59 anos";"579";"327";"252"
"3519402";"Ibirá (SP)";"Total";"60 a 69 anos";"874";"304";"570"
"3519402";"Ibirá (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3519402";"Ibirá (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3519501";"Ibirarema (SP)";"Total";"15 a 19 anos";"597";"261";"336"
"3519501";"Ibirarema (SP)";"Total";"15 a 17 anos";"371";"108";"263"
"3519501";"Ibirarema (SP)";"Total";"15 anos";"...";"...";"..."
"3519501";"Ibirarema (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3519501";"Ibirarema (SP)";"Total";"18 e 19 anos";"226";"153";"73"
"3519501";"Ibirarema (SP)";"Total";"20 a 24 anos";"519";"384";"135"
"3519501";"Ibirarema (SP)";"Total";"25 a 29 anos";"515";"404";"111"
"3519501";"Ibirarema (SP)";"Total";"30 a 34 anos";"499";"418";"81"
"3519501";"Ibirarema (SP)";"Total";"35 a 39 anos";"457";"334";"123"
"3519501";"Ibirarema (SP)";"Total";"40 a 44 anos";"552";"417";"135"
"3519501";"Ibirarema (SP)";"Total";"45 a 49 anos";"450";"314";"136"
"3519501";"Ibirarema (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3519501";"Ibirarema (SP)";"Total";"50 a 54 anos";"316";"189";"127"
"3519501";"Ibirarema (SP)";"Total";"55 a 59 anos";"334";"163";"171"
"3519501";"Ibirarema (SP)";"Total";"60 a 69 anos";"507";"127";"380"
"3519501";"Ibirarema (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3519501";"Ibirarema (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3519600";"Ibitinga (SP)";"Total";"15 a 19 anos";"4310";"2817";"1493"
"3519600";"Ibitinga (SP)";"Total";"15 a 17 anos";"2564";"1434";"1130"
"3519600";"Ibitinga (SP)";"Total";"15 anos";"...";"...";"..."
"3519600";"Ibitinga (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3519600";"Ibitinga (SP)";"Total";"18 e 19 anos";"1746";"1383";"363"
"3519600";"Ibitinga (SP)";"Total";"20 a 24 anos";"4947";"4073";"874"
"3519600";"Ibitinga (SP)";"Total";"25 a 29 anos";"4853";"4343";"510"
"3519600";"Ibitinga (SP)";"Total";"30 a 34 anos";"4419";"3939";"480"
"3519600";"Ibitinga (SP)";"Total";"35 a 39 anos";"4058";"3689";"369"
"3519600";"Ibitinga (SP)";"Total";"40 a 44 anos";"3853";"3334";"519"
"3519600";"Ibitinga (SP)";"Total";"45 a 49 anos";"3750";"2961";"789"
"3519600";"Ibitinga (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3519600";"Ibitinga (SP)";"Total";"50 a 54 anos";"3006";"2193";"814"
"3519600";"Ibitinga (SP)";"Total";"55 a 59 anos";"2722";"1638";"1084"
"3519600";"Ibitinga (SP)";"Total";"60 a 69 anos";"3661";"1367";"2294"
"3519600";"Ibitinga (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3519600";"Ibitinga (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3519709";"Ibiúna (SP)";"Total";"15 a 19 anos";"6262";"3479";"2783"
"3519709";"Ibiúna (SP)";"Total";"15 a 17 anos";"3860";"1665";"2195"
"3519709";"Ibiúna (SP)";"Total";"15 anos";"...";"...";"..."
"3519709";"Ibiúna (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3519709";"Ibiúna (SP)";"Total";"18 e 19 anos";"2402";"1814";"588"
"3519709";"Ibiúna (SP)";"Total";"20 a 24 anos";"5979";"4820";"1159"
"3519709";"Ibiúna (SP)";"Total";"25 a 29 anos";"6156";"5209";"947"
"3519709";"Ibiúna (SP)";"Total";"30 a 34 anos";"5671";"4863";"808"
"3519709";"Ibiúna (SP)";"Total";"35 a 39 anos";"5280";"4480";"800"
"3519709";"Ibiúna (SP)";"Total";"40 a 44 anos";"4778";"3936";"842"
"3519709";"Ibiúna (SP)";"Total";"45 a 49 anos";"4507";"3454";"1053"
"3519709";"Ibiúna (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3519709";"Ibiúna (SP)";"Total";"50 a 54 anos";"3533";"2719";"813"
"3519709";"Ibiúna (SP)";"Total";"55 a 59 anos";"3418";"2104";"1314"
"3519709";"Ibiúna (SP)";"Total";"60 a 69 anos";"4702";"1913";"2789"
"3519709";"Ibiúna (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3519709";"Ibiúna (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3519808";"Icém (SP)";"Total";"15 a 19 anos";"606";"275";"331"
"3519808";"Icém (SP)";"Total";"15 a 17 anos";"373";"115";"258"
"3519808";"Icém (SP)";"Total";"15 anos";"...";"...";"..."
"3519808";"Icém (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3519808";"Icém (SP)";"Total";"18 e 19 anos";"233";"160";"72"
"3519808";"Icém (SP)";"Total";"20 a 24 anos";"745";"609";"136"
"3519808";"Icém (SP)";"Total";"25 a 29 anos";"714";"564";"150"
"3519808";"Icém (SP)";"Total";"30 a 34 anos";"618";"539";"79"
"3519808";"Icém (SP)";"Total";"35 a 39 anos";"529";"441";"88"
"3519808";"Icém (SP)";"Total";"40 a 44 anos";"509";"415";"94"
"3519808";"Icém (SP)";"Total";"45 a 49 anos";"465";"332";"133"
"3519808";"Icém (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3519808";"Icém (SP)";"Total";"50 a 54 anos";"423";"310";"113"
"3519808";"Icém (SP)";"Total";"55 a 59 anos";"353";"195";"159"
"3519808";"Icém (SP)";"Total";"60 a 69 anos";"476";"134";"342"
"3519808";"Icém (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3519808";"Icém (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3519907";"Iepê (SP)";"Total";"15 a 19 anos";"651";"301";"350"
"3519907";"Iepê (SP)";"Total";"15 a 17 anos";"410";"129";"281"
"3519907";"Iepê (SP)";"Total";"15 anos";"...";"...";"..."
"3519907";"Iepê (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3519907";"Iepê (SP)";"Total";"18 e 19 anos";"241";"172";"69"
"3519907";"Iepê (SP)";"Total";"20 a 24 anos";"588";"412";"176"
"3519907";"Iepê (SP)";"Total";"25 a 29 anos";"576";"442";"134"
"3519907";"Iepê (SP)";"Total";"30 a 34 anos";"555";"435";"120"
"3519907";"Iepê (SP)";"Total";"35 a 39 anos";"523";"414";"109"
"3519907";"Iepê (SP)";"Total";"40 a 44 anos";"556";"429";"127"
"3519907";"Iepê (SP)";"Total";"45 a 49 anos";"538";"338";"200"
