"Tabela 6778 - Número de estabelecimentos agropecuários, por tipologia, existência de energia elétrica, condição do produtor em relação às terras, residência da pessoa que dirige o estabelecimento, grupos de atividade econômica e grupos de área total"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"Ano x Tipologia x Existência de energia elétrica x Condição do produtor em relação às terras"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"2017"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"Total";"Agricultura familiar - sim"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"Total";"Total"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"Total";"Total"
"3505807";"Bastos (SP)";"Total";"Total";"Total";"382";"196"
"3505906";"Batatais (SP)";"Total";"Total";"Total";"376";"241"
"3506003";"Bauru (SP)";"Total";"Total";"Total";"395";"207"
"3506102";"Bebedouro (SP)";"Total";"Total";"Total";"599";"368"
"3506201";"Bento de Abreu (SP)";"Total";"Total";"Total";"55";"28"
"3506300";"Bernardino de Campos (SP)";"Total";"Total";"Total";"254";"187"
"3506359";"Bertioga (SP)";"Total";"Total";"Total";"1";"-"
"3506409";"Bilac (SP)";"Total";"Total";"Total";"263";"193"
"3506508";"Birigui (SP)";"Total";"Total";"Total";"650";"465"
"3506607";"Biritiba Mirim (SP)";"Total";"Total";"Total";"433";"294"
"3506706";"Boa Esperança do Sul (SP)";"Total";"Total";"Total";"167";"89"
"3506805";"Bocaina (SP)";"Total";"Total";"Total";"131";"57"
"3506904";"Bofete (SP)";"Total";"Total";"Total";"227";"118"
"3507001";"Boituva (SP)";"Total";"Total";"Total";"191";"126"
"3507100";"Bom Jesus dos Perdões (SP)";"Total";"Total";"Total";"65";"35"
"3507159";"Bom Sucesso de Itararé (SP)";"Total";"Total";"Total";"56";"22"
"3507209";"Borá (SP)";"Total";"Total";"Total";"38";"13"
"3507308";"Boracéia (SP)";"Total";"Total";"Total";"72";"31"
"3507407";"Borborema (SP)";"Total";"Total";"Total";"410";"224"
"3507456";"Borebi (SP)";"Total";"Total";"Total";"70";"38"
"3507506";"Botucatu (SP)";"Total";"Total";"Total";"359";"164"
"3507605";"Bragança Paulista (SP)";"Total";"Total";"Total";"583";"350"
"3507704";"Braúna (SP)";"Total";"Total";"Total";"156";"127"
"3507753";"Brejo Alegre (SP)";"Total";"Total";"Total";"91";"73"
"3507803";"Brodowski (SP)";"Total";"Total";"Total";"153";"78"
"3507902";"Brotas (SP)";"Total";"Total";"Total";"396";"202"
"3508009";"Buri (SP)";"Total";"Total";"Total";"530";"351"
"3508108";"Buritama (SP)";"Total";"Total";"Total";"397";"254"
"3508207";"Buritizal (SP)";"Total";"Total";"Total";"153";"103"
"3508306";"Cabrália Paulista (SP)";"Total";"Total";"Total";"99";"46"
"3508405";"Cabreúva (SP)";"Total";"Total";"Total";"102";"40"
"3508504";"Caçapava (SP)";"Total";"Total";"Total";"119";"39"
"3508603";"Cachoeira Paulista (SP)";"Total";"Total";"Total";"254";"96"
"3508702";"Caconde (SP)";"Total";"Total";"Total";"1262";"961"
"3508801";"Cafelândia (SP)";"Total";"Total";"Total";"253";"81"
"3508900";"Caiabu (SP)";"Total";"Total";"Total";"189";"122"
"3509007";"Caieiras (SP)";"Total";"Total";"Total";"18";"10"
"3509106";"Caiuá (SP)";"Total";"Total";"Total";"658";"530"
"3509205";"Cajamar (SP)";"Total";"Total";"Total";"72";"37"
"3509254";"Cajati (SP)";"Total";"Total";"Total";"520";"351"
"3509304";"Cajobi (SP)";"Total";"Total";"Total";"181";"95"
"3509403";"Cajuru (SP)";"Total";"Total";"Total";"736";"365"
"3509452";"Campina do Monte Alegre (SP)";"Total";"Total";"Total";"141";"97"
"3509502";"Campinas (SP)";"Total";"Total";"Total";"582";"273"
"3509601";"Campo Limpo Paulista (SP)";"Total";"Total";"Total";"15";"11"
"3509700";"Campos do Jordão (SP)";"Total";"Total";"Total";"34";"13"
"3509809";"Campos Novos Paulista (SP)";"Total";"Total";"Total";"191";"117"
"3509908";"Cananéia (SP)";"Total";"Total";"Total";"115";"48"
"3509957";"Canas (SP)";"Total";"Total";"Total";"41";"31"
"3510005";"Cândido Mota (SP)";"Total";"Total";"Total";"351";"213"
"3510104";"Cândido Rodrigues (SP)";"Total";"Total";"Total";"134";"83"
"3510153";"Canitar (SP)";"Total";"Total";"Total";"21";"9"
"3510203";"Capão Bonito (SP)";"Total";"Total";"Total";"760";"488"
"3510302";"Capela do Alto (SP)";"Total";"Total";"Total";"157";"100"
"3510401";"Capivari (SP)";"Total";"Total";"Total";"133";"58"
"3510500";"Caraguatatuba (SP)";"Total";"Total";"Total";"87";"51"
"3510708";"Cardoso (SP)";"Total";"Total";"Total";"263";"186"
"3510807";"Casa Branca (SP)";"Total";"Total";"Total";"504";"286"
"3510906";"Cássia dos Coqueiros (SP)";"Total";"Total";"Total";"320";"221"
"3511003";"Castilho (SP)";"Total";"Total";"Total";"1199";"999"
"3511102";"Catanduva (SP)";"Total";"Total";"Total";"157";"102"
"3511201";"Catiguá (SP)";"Total";"Total";"Total";"48";"34"
"3511300";"Cedral (SP)";"Total";"Total";"Total";"298";"189"
"3511409";"Cerqueira César (SP)";"Total";"Total";"Total";"394";"217"
"3511508";"Cerquilho (SP)";"Total";"Total";"Total";"180";"124"
"3511607";"Cesário Lange (SP)";"Total";"Total";"Total";"197";"100"
"3511706";"Charqueada (SP)";"Total";"Total";"Total";"107";"50"
"3511904";"Clementina (SP)";"Total";"Total";"Total";"127";"80"
"3512001";"Colina (SP)";"Total";"Total";"Total";"200";"88"
"3512100";"Colômbia (SP)";"Total";"Total";"Total";"221";"137"
