 Abastecimento de água - São Paulo
Domicílios por Município e Abastecimento de água
Período:2010
"Município";"Rede geral - sem informação de canalização";"Poço ou nascente - sem informação de canalização";"Outra forma - Poço ou nascente fora da propriedade";"Outra forma - Carro-pipa";"Outra forma - Água da chuva armazenada em cisterna";"Outra forma - Água da chuva armazenada outra forma";"Outra forma - Rio, açude, lago ou igarapé";"Outra forma - Poço ou nascente na aldeia";"Outra forma - Poço ou nascente fora da aldeia";"Outra forma - Outra";"Total"
"350670 Boa Esperança do Sul";3808;300;9;-;-;4;27;-;-;1;4149
"350680 Bocaina";3089;199;13;8;-;-;2;-;-;-;3311
"350690 Bofete";2043;979;108;1;-;-;28;-;-;5;3164
"350700 Boituva";12927;1628;127;39;-;-;11;-;-;7;14739
"350710 Bom Jesus dos Perdões";5365;645;69;-;-;1;36;-;-;2;6118
"350715 Bom Sucesso de Itararé";665;90;229;-;-;1;4;-;-;2;991
"350720 Borá";188;48;2;-;-;-;1;-;-;-;239
"350730 Boracéia";1121;130;3;-;-;-;-;-;-;2;1256
"350740 Borborema";4259;463;52;-;-;-;-;-;-;-;4774
"350745 Borebi";615;56;18;11;-;-;-;-;-;1;701
"350750 Botucatu";39425;1206;328;4;1;1;13;-;-;124;41102
"350760 Bragança Paulista";39368;4721;605;2;3;2;13;-;-;38;44752
"350770 Braúna";1395;144;10;-;-;-;1;36;-;2;1588
"350775 Brejo Alegre";681;121;7;-;-;-;2;-;-;-;811
"350780 Brodowski";6171;189;22;-;-;-;1;-;-;2;6385
"350790 Brotas";6143;543;35;-;-;-;12;-;-;5;6738
"350800 Buri";4508;800;160;-;2;1;32;-;-;9;5512
"350810 Buritama";4775;339;65;-;-;-;9;-;-;2;5190
"350820 Buritizal";1114;234;25;-;-;-;-;-;-;-;1373
"350830 Cabrália Paulista";1198;143;2;-;-;-;-;-;-;37;1380
"350840 Cabreúva";10115;1631;148;1;-;-;1;-;-;13;11909
"350850 Caçapava";23088;1610;88;20;1;1;4;-;-;22;24834
"350860 Cachoeira Paulista";8440;463;138;-;-;-;4;-;-;23;9068
"350870 Caconde";3900;1351;418;3;3;-;5;-;-;11;5691
"350880 Cafelândia";4619;515;211;-;-;-;-;-;-;5;5350
"350890 Caiabu";1147;226;14;-;-;-;-;-;-;3;1390
"350900 Caieiras";24499;319;503;1;1;1;2;-;-;85;25411
"350910 Caiuá";920;254;442;-;-;-;-;-;-;6;1622
"350920 Cajamar";17493;1207;462;17;-;9;14;-;-;67;19269
"350925 Cajati";6740;940;583;-;1;1;186;-;-;23;8474
"350930 Cajobi";2859;233;12;-;-;-;-;-;-;1;3105
"350940 Cajuru";6354;723;123;-;7;-;1;-;-;1;7209
"350945 Campina do Monte Alegre";1520;244;41;-;-;1;-;-;-;2;1808
"350950 Campinas";341754;4547;1071;104;7;8;24;-;-;753;348268
"350960 Campo Limpo Paulista";20215;1630;89;1;-;3;2;-;-;18;21958
"350970 Campos do Jordão";12789;377;1070;15;-;-;1;-;-;47;14299
"350980 Campos Novos Paulista";1160;294;31;-;-;-;-;-;-;5;1490
"350990 Cananéia";3173;171;293;-;3;2;21;-;-;20;3683
"350995 Canas";1120;74;10;-;1;-;-;-;-;-;1205
"351000 Cândido Mota";9015;581;16;-;-;-;5;-;-;4;9621
"351010 Cândido Rodrigues";739;126;2;-;-;-;1;-;-;-;868
"351015 Canitar";1150;57;11;-;-;-;-;-;-;-;1218
"351020 Capão Bonito";11566;1630;313;-;1;3;59;-;-;28;13600
"351030 Capela do Alto";4262;918;50;1;1;-;2;-;-;6;5240
"351040 Capivari";12992;421;449;77;2;-;1;-;-;46;13988
"351050 Caraguatatuba";30771;468;545;1;-;1;27;-;-;121;31934
"351060 Carapicuíba";106529;270;139;2;1;12;15;-;-;1624;108592
"351070 Cardoso";3671;448;10;-;-;-;1;-;-;4;4134
"351080 Casa Branca";7426;910;27;1;-;-;4;-;-;-;8368
"351090 Cássia dos Coqueiros";568;242;20;-;4;-;3;-;-;-;837
"351100 Castilho";4197;865;448;33;-;1;5;-;-;2;5551
"351110 Catanduva";36299;937;44;-;-;-;-;-;-;16;37296
"351120 Catiguá";2063;169;5;-;-;-;2;-;-;-;2239
"351130 Cedral";2096;380;139;-;-;-;-;-;-;-;2615
"351140 Cerqueira César";5000;468;59;-;-;-;2;-;-;3;5532
"351150 Cerquilho";11563;447;179;1;-;-;-;-;-;2;12192
"351160 Cesário Lange";3459;932;71;1;1;-;1;-;-;4;4469
"351170 Charqueada";4207;195;6;2;-;-;-;-;-;3;4413
"355720 Chavantes";3459;223;9;-;-;-;18;-;-;-;3709
"351190 Clementina";2063;92;4;-;-;-;-;-;-;-;2159
"351200 Colina";4933;349;23;1;3;-;-;-;-;4;5313
"351210 Colômbia";1449;340;9;3;-;-;2;-;-;5;1808
"351220 Conchal";6579;551;11;-;-;-;7;-;-;1;7149
"351230 Conchas";4128;816;244;-;-;1;9;-;-;11;5209
"351240 Cordeirópolis";5833;441;91;47;-;-;-;-;-;1;6413
"351250 Coroados";1388;306;2;-;-;-;1;-;-;-;1697
"351260 Coronel Macedo";1322;289;16;-;-;-;-;-;-;-;1627
"351270 Corumbataí";780;378;48;4;-;1;-;-;-;2;1213
"351280 Cosmópolis";17064;529;70;37;-;1;35;-;-;32;17768
"351290 Cosmorama";1909;608;40;-;2;-;4;-;-;2;2565
"351300 Cotia";53713;4752;350;86;1;6;10;-;-;120;59038
"351310 Cravinhos";8961;229;19;6;-;-;-;-;-;1;9216
"351320 Cristais Paulista";1674;599;63;-;4;-;1;-;-;-;2341
"351330 Cruzália";635;139;4;-;-;-;-;-;-;1;779
"351340 Cruzeiro";22572;216;266;2;-;2;38;-;-;25;23121
"351350 Cubatão";32000;77;3214;-;3;27;388;-;-;755;36464
"351360 Cunha";3919;2107;937;-;-;-;68;-;-;8;7039
"351370 Descalvado";8644;732;142;17;-;-;15;-;-;4;9554
"351380 Diadema";116672;182;27;255;1;6;12;-;-;189;117344
"351385 Dirce Reis";476;113;-;-;-;-;-;-;-;-;589
"351390 Divinolândia";2488;899;190;-;2;-;1;-;-;3;3583
"351400 Dobrada";2377;47;2;-;-;-;-;-;-;-;2426
"351410 Dois Córregos";7249;246;18;-;-;1;103;-;-;2;7619
"351420 Dolcinópolis";686;41;2;-;-;-;-;-;-;-;729
"351430 Dourado";2644;181;12;-;-;-;-;-;-;-;2837
"351440 Dracena";13635;486;127;-;-;1;1;-;-;6;14256
"351450 Duartina";3614;387;13;-;1;1;6;-;-;7;4029
"351460 Dumont";2295;67;20;-;-;-;-;-;-;-;2382
"351470 Echaporã";1630;333;54;-;-;-;1;-;-;-;2018
"351480 Eldorado";2308;1287;591;-;-;1;63;-;-;8;4258
"351490 Elias Fausto";3528;624;229;3;-;-;5;-;-;34;4423
"351492 Elisiário";904;90;-;-;-;-;-;-;-;-;994
"351495 Embaúba";677;121;2;-;-;-;-;-;-;1;801
"351500 Embu das Artes";66864;999;98;35;5;3;18;-;-;203;68225
"351510 Embu-Guaçu";14008;3601;349;15;1;2;15;-;-;126;18117
"351512 Emilianópolis";849;127;38;-;-;-;1;-;-;1;1016
"351515 Engenheiro Coelho";3468;802;370;-;-;-;3;-;-;5;4648
"351518 Espírito Santo do Pinhal";11600;1259;131;-;-;-;-;-;-;9;12999
"351519 Espírito Santo do Turvo";1115;136;57;1;-;-;-;-;-;1;1310
"355730 Estiva Gerbi";2578;278;54;-;-;-;-;-;-;-;2910
"351520 Estrela d'Oeste";2290;429;10;1;-;1;-;-;-;1;2732
"351530 Estrela do Norte";612;175;11;-;-;-;-;-;-;1;799
"351535 Euclides da Cunha Paulista";2075;555;323;-;-;-;3;-;-;7;2963
"351540 Fartura";4012;712;156;-;-;-;19;-;-;3;4902
"351560 Fernando Prestes";1600;240;11;-;-;-;-;-;-;1;1852
"351550 Fernandópolis";20882;909;31;-;2;-;-;-;-;7;21831
"351565 Fernão";288;196;29;-;-;-;-;-;-;1;514
"351570 Ferraz de Vasconcelos";47594;394;75;4;-;5;7;-;-;304;48383
"351580 Flora Rica";508;95;19;-;-;-;-;-;-;-;622
"351590 Floreal";899;179;4;-;-;-;2;-;-;-;1084
"351600 Flórida Paulista";3454;355;28;-;-;-;1;-;-;4;3842
"351610 Florínia";832;80;26;-;-;-;2;-;-;2;942
"351620 Franca";95960;1571;195;1;1;2;-;-;-;11;97741
"351630 Francisco Morato";42087;1331;247;4;2;3;10;-;-;257;43941
"351640 Franco da Rocha";34407;1070;215;1;2;1;11;-;-;560;36267
"351650 Gabriel Monteiro";785;110;32;-;-;-;-;-;-;-;927
"351660 Gália";1839;458;15;-;-;-;-;-;-;51;2363
"351670 Garça";12473;911;63;-;2;1;30;-;-;2;13482
"351680 Gastão Vidigal";1118;149;9;-;-;-;-;-;-;-;1276
"351685 Gavião Peixoto";1184;142;7;-;-;-;-;-;-;-;1333
"351690 General Salgado";3251;344;11;-;1;-;-;-;-;-;3607
"351700 Getulina";2649;328;52;-;-;-;-;-;-;8;3037
"351710 Glicério";1039;374;7;-;-;-;-;-;-;1;1421
"351720 Guaiçara";2933;277;19;-;-;-;3;-;-;12;3244
"351730 Guaimbê";1478;194;11;-;-;-;7;-;-;1;1691
"351740 Guaíra";11522;448;11;-;-;-;-;-;-;-;11981
"351750 Guapiaçu";4831;527;369;-;-;-;3;-;-;1;5731
"351760 Guapiara";3019;1429;750;-;1;1;198;-;-;22;5420
"351770 Guará";5478;506;27;-;3;1;4;-;-;29;6048
"351780 Guaraçaí";2353;339;154;-;-;-;-;-;-;1;2847
"351790 Guaraci";2737;391;40;-;-;-;-;-;-;-;3168
"351800 Guarani d'Oeste";630;70;5;-;-;-;-;-;-;-;705
"351810 Guarantã";1758;139;48;-;-;-;-;-;-;-;1945
"351820 Guararapes";9310;649;32;1;-;1;1;-;-;13;10007
"351830 Guararema";5326;2326;94;1;-;-;-;-;-;12;7759
"351840 Guaratinguetá";32519;1352;232;7;1;-;35;-;-;37;34183
"351850 Guareí";3002;537;135;-;-;1;9;-;-;5;3689
"351860 Guariba";9635;968;16;4;-;-;-;-;-;1;10624
"351870 Guarujá";79155;418;2492;5;11;156;360;-;-;2371;84968
"351880 Guarulhos";351885;5603;732;356;12;17;57;-;-;1878;360540
"351885 Guatapará";1783;146;82;6;1;-;25;-;-;1;2044
"351890 Guzolândia";1313;217;5;-;-;-;-;-;-;-;1535
"351900 Herculândia";2564;218;14;-;-;-;1;-;-;-;2797
"351905 Holambra";2271;970;90;-;-;-;2;-;-;-;3333
"351907 Hortolândia";54366;852;111;6;-;1;2;-;-;55;55393
"351910 Iacanga";2748;316;30;-;1;-;6;-;-;3;3104
"351920 Iacri";1680;380;19;-;-;-;2;-;-;-;2081
"351925 Iaras";797;248;318;-;-;-;5;-;-;22;1390
"351930 Ibaté";8530;247;15;-;-;1;7;-;-;-;8800
"351940 Ibirá";3254;361;29;-;-;-;-;-;-;-;3644
"351950 Ibirarema";1995;165;3;-;-;-;1;-;-;1;2165
"351960 Ibitinga";16034;740;43;-;-;-;2;-;-;4;16823
"351970 Ibiúna";9117;11324;867;16;1;6;62;-;-;35;21428
"351980 Icém";2179;185;5;-;-;-;-;-;-;1;2370
"351990 Iepê";2197;216;14;3;-;-;24;-;-;2;2456
"352000 Igaraçu do Tietê";6813;44;3;-;-;-;-;-;-;1;6861
"352010 Igarapava";8366;316;299;-;-;-;1;-;-;11;8993
"352020 Igaratá";1707;688;342;1;-;-;56;-;-;15;2809
"352030 Iguape";6910;1312;677;5;9;6;23;-;-;134;9076
"352042 Ilha Comprida";2760;316;14;-;-;4;1;-;-;15;3110
"352044 Ilha Solteira";7611;359;77;-;-;-;2;-;-;2;8051
"352040 Ilhabela";7290;94;1227;-;1;1;384;-;-;18;9015
"352050 Indaiatuba";57721;3162;393;2;-;-;4;-;-;11;61293
"352060 Indiana";1433;163;5;-;-;-;-;-;-;1;1602
"352070 Indiaporã";1211;204;5;-;-;-;-;-;-;1;1421
"352080 Inúbia Paulista";1034;55;88;-;-;-;-;-;-;-;1177
"352090 Ipaussu";3909;176;24;-;-;-;-;-;-;1;4110
"352100 Iperó";5944;1583;171;6;-;-;5;-;-;87;7796
"352110 Ipeúna";1571;191;14;-;-;-;1;-;-;1;1778
"352115 Ipiguá";949;362;132;-;-;-;-;-;-;-;1443
"352120 Iporanga";722;326;158;-;-;-;32;-;-;1;1239
"352130 Ipuã";4176;167;35;-;-;-;1;-;-;-;4379
"352140 Iracemápolis";5819;115;4;-;-;-;-;-;-;3;5941
"352150 Irapuã";1993;238;15;-;-;-;1;-;-;1;2248
"352160 Irapuru";1931;230;56;-;-;-;-;-;-;3;2220
